"a","b","d","c","rmse_p","h","rmse_b","ID"
0.00010569,0.93586487,0.08291724,17.1325,6.82045371320573,2.3391,9.1078,284
0.0001057,0.81326294,0.02386522,12.9736,12.3650218020483,1.7667,6.0574,285
0.00010572,0.12861368,0.00152937,13.7888,14.0337720174032,1.5534,7.0482,286
0.00010574,0.1730133,0.08243094,12.5905,9.7184619065054,1.5071,8.0006,287
0.00010576,0.24858929,0.01337318,13.8419,13.0257665108742,2.8602,4.0115,288
0.00010577,0.36995381,0.07822943,16.5719,7.52489668263539,2.0842,9.363,289
0.00010579,0.60784847,0.06918346,14.8161,8.52846454549296,1.608,9.5202,290
0.00010579,1.03844309,0.02560183,15.3704,10.3558974892761,1.9495,7.6943,291
0.0001058,1.06244326,0.03193365,16.0247,9.54169267333275,1.8962,8.6871,292
0.00010582,0.89103979,0.08594874,19.6291,6.78009130111762,2.2584,11.9294,293
0.00010583,0.35377854,0.0389292,13.6049,11.3743833060662,2.7895,3.9394,294
0.00010584,0.88544619,0.07135103,14.9456,8.12010927070848,1.9758,8.2095,295
0.00010585,0.74889177,0.06825876,18.878,6.99727978262933,1.8514,12.4713,296
0.00010587,0.75706118,0.00579822,16.1985,11.3313770186851,2.8783,5.0918,297
0.00010588,1.09052944,0.07619204,12.6685,9.11534653018854,2.5624,4.235,298
0.00010589,0.52895498,0.095186,17.4601,6.7317782084342,2.5179,8.8878,299
0.00010592,0.35204291,0.08854339,16.3646,7.25930921887305,1.7605,10.8038,300
0.00010593,0.12782899,0.08027975,13.4749,9.30694667768682,1.6906,8.007,301
0.00010594,0.07034578,0.00421225,16.6155,11.9133987357108,1.9323,8.2814,302
0.00010594,0.56392437,0.056825,13.1588,10.3421528714471,1.8175,6.7123,303
0.00010595,0.27460968,0.00936482,14.9086,12.4855821980991,1.6646,7.8704,304
0.00010596,0.69449306,0.08516679,14.9124,7.65659448556317,2.9327,5.0267,305
0.00010597,0.41649932,0.05834147,14.677,9.39290840141089,2.727,4.9209,306
0.00010597,0.91646916,0.02181904,16.3307,10.0796224893132,1.5666,10.1021,307
0.00010601,0.03495904,0.04496883,14.9781,10.4480275773919,2.4804,5.5988,308
0.00010602,0.58321017,0.04585278,15.9536,9.15958783600278,1.97,8.5191,309
0.00010602,1.14643037,0.00539569,13.6352,12.852657572837,1.7652,6.3728,310
0.00010604,0.14088066,0.08231355,17.867,7.27328643920326,1.9969,11.0364,311
0.00010604,1.04977536,0.03483424,15.7314,9.55164950431939,1.8567,8.6309,312
0.00010605,0.50817478,0.09577407,19.7724,6.92867471546405,2.5274,11.0733,313
0.00010605,0.63829964,0.07407062,19.5015,6.91196365353337,2.7289,9.5125,314
0.00010605,0.74815869,0.00404085,14.1719,12.8848346326711,1.7149,6.9594,315
0.00010606,0.59721267,0.01154673,14.9777,11.9328774847473,2.3282,5.6167,316
0.00010607,0.05598262,0.06720908,17.9442,7.82433680776051,1.8091,11.5236,317
0.00010607,1.11450064,0.02518861,13.58,11.5696553262532,2.7516,3.9169,318
0.0001061,0.34981549,0.02186182,19.675,8.91693324874649,2.3593,9.9283,319
0.00010611,0.38186756,0.09612942,17.8074,6.79716217557315,2.7313,8.3599,320
0.00010612,0.17749342,0.02684807,15.5051,11.0391585824701,1.7889,8.2994,321
0.00010615,0.61155647,0.04224075,15.4206,9.66018620553552,1.6135,9.4188,322
0.00010617,0.85466933,0.05266647,12.9961,10.4361160562857,2.7299,3.7961,323
0.00010619,0.09002936,0.07095263,18.2753,7.56782478969451,2.188,10.3314,324
0.0001062,0.45140857,0.09211039,14.2569,7.91330453905534,2.9778,4.5308,325
0.00010622,0.22583871,0.0169308,16.7708,10.8006336591578,2.4767,6.7022,326
